YEAR,MONTH,DAY,TEMP_MAX,TEMP_MIN,DEW_MAX,DEW_MIN,SLP_MAX,SLP_MIN,STP_MAX,STP_MIN,VISIB_MAX,VISIB_MIN,WDSP_MAX,WDSP_MIN,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,Class
2017,1,1,53.9,24,46.5,24,1013.6,22,1012.4,24,8.3,24,5.4,24,13,18.1,60.1,48.9,0.68G,999.9,10000,0
2017,1,2,56.4,24,45.4,24,1018.1,24,1017.1,24,10,24,3.9,24,8,999.9,60.1,48.9,0.00G,999.9,0,0
2017,1,3,56.4,24,46.3,24,1021.2,23,1020.3,24,10,24,1.3,24,6,999.9,62.1,52,0.00G,999.9,0,0
2017,1,4,56.5,24,45.7,24,1021,24,1020,24,10,24,2.6,24,8,999.9,64.9,48.9,0.00G,999.9,0,0
2017,1,5,58.3,24,49.8,24,1018.2,19,1017,24,7.9,24,3.7,24,9.9,999.9,64.9,48.9,0.00G,999.9,10000,0
2017,1,6,58.9,24,53.7,24,1017.5,19,1016.1,24,8.2,24,2.8,24,8,15,66,53.1,0.16G,999.9,10000,0
2017,1,7,58.5,24,45,24,1020.7,24,1019.7,24,10,24,1.9,24,8,999.9,71.1,52,0.00G,999.9,0,0
2017,1,8,62.6,24,46.7,24,1022,24,1021,24,10,24,1.8,24,8,999.9,73.9,52,0.00G,999.9,0,0
2017,1,9,62.3,24,50.8,24,1021.5,23,1020.6,24,9.3,24,3.3,24,8,999.9,73.9,54,0.00G,999.9,10000,0
2017,1,10,59.6,24,52.7,24,1020.9,16,1020.2,24,9.3,24,3.1,24,9.9,999.9,64.9,55,0.18G,999.9,0,0
2017,1,11,58.4,24,52.6,24,1018.9,17,1017.7,24,8.8,24,4.6,24,12,999.9,64.9,55,0.00G,999.9,10000,0
2017,1,12,57.9,24,53,24,1016.2,19,1015.2,24,8.8,24,5,24,12,18.1,61,54,0.05G,999.9,10000,0
2017,1,13,56.6,24,51.4,24,1016.3,17,1014.8,24,9.3,24,3.7,24,11.1,999.9,61,53.1,0.32G,999.9,10000,0
2017,1,14,56.7,24,47.6,24,1016.9,24,1016,24,10,24,3.9,24,8.9,999.9,64,53.1,0.26G,999.9,10000,0
2017,1,15,58.5,24,48.9,24,1017.4,24,1016.4,24,10,24,6.5,24,13,999.9,64,53.1,0.00G,999.9,0,0
2017,1,16,57.6,24,49.6,24,1018.1,24,1017.2,24,10,24,2.8,24,11.1,15.9,64,53.1,0.00G,999.9,0,0
2017,1,17,57,24,48.2,24,1018.7,23,1017.6,24,9.1,24,3.7,24,12,17.1,66,50,0.00G,999.9,0,0
2017,1,18,56.2,24,45.6,24,1021.2,22,1020.4,24,10,24,2.8,24,11.1,999.9,66,50,0.00G,999.9,0,0
